Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7sZCAHP2duHwr5M5K7lHsb,"Selfish","Detroit Deli (A Taste Of Detroit)","Slum Village;John Legend;Kanye West",2004-01-01,225400,63,true,,2025-12-06T05:00:06Z,"jazz rap,soft pop,neo soul,rap","Priority Records",0.71,0.597,7,-6.468,1,0.239,0.221,0,0.432,0.49,95.769,4
spotify:track:3A4cpTBPaIQdtPFb5JxtaX,"Slow Jamz","The College Dropout","Twista;Kanye West;Jamie Foxx",2004-02-10,316053,73,true,,2025-12-06T05:00:06Z,"rap","Roc-A-Fella",0.559,0.733,2,-5.659,0,0.171,0.314,0,0.284,0.611,145.115,4
spotify:track:7A3ETuOrieyx9KSF0sn0Zf,"You Ain't Gotta Lie (Momma Said)","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,241680,63,true,,2025-12-06T05:00:06Z,"hip hop,west coast hip hop","Aftermath",0.443,0.635,11,-5.404,0,0.223,0.455,0.0000207,0.285,0.672,93.742,4
spotify:track:5IYzq28hEwrCRFDvQRFFpM,"Won't Do","The Shining","J Dilla",2006-08-21,232533,50,true,,2025-12-06T05:00:06Z,"alternative hip hop,jazz rap","BBE Music",0.776,0.706,1,-5.33,1,0.253,0.0773,0,0.0985,0.598,94.12,4
spotify:track:2nuW4fpEoa9PPSgIQk3J3B,"4 Page Letter","One In A Million","Aaliyah",1996-08-13,292400,53,false,,2025-12-06T05:00:06Z,"r&b","Blackground Records",0.815,0.453,2,-4.956,1,0.118,0.021,0,0.0402,0.333,118.957,4
spotify:track:3j64qSBGg8zPn4zRa9Wok1,"One In A Million","One In A Million","Aaliyah",1996-08-13,270760,66,false,,2025-12-06T05:00:06Z,"r&b","Blackground Records",0.741,0.508,11,-5.099,0,0.0507,0.0347,0.0000645,0.0602,0.354,121.965,4
spotify:track:19QPyFh6zekxL0koPW463j,"If Your Girl Only Knew","One In A Million","Aaliyah",1996-08-13,290960,58,false,,2025-12-06T05:00:06Z,"r&b","Blackground Records",0.841,0.741,9,-3.487,0,0.0359,0.137,0.000445,0.11,0.834,88.408,4
spotify:track:1CAw3ethNuSDPf3E7luSFF,"Faded Pictures","Personal Conversation","Case;Joe",1999-01-01,229773,60,false,,2025-12-06T05:00:06Z,"quiet storm,r&b","Def Jam Recordings",0.705,0.512,1,-7.423,0,0.215,0.126,0.00000186,0.153,0.589,82.018,4
spotify:track:4l34rbUYqKWufYEWriVnB5,"This Luv","Where I Wanna Be","Donell Jones",1999-05-29,249506,55,false,,2025-12-06T05:00:06Z,"r&b,quiet storm,neo soul","Arista/LaFace Records",0.754,0.496,11,-7.357,0,0.045,0.406,0.00000205,0.0899,0.701,89.97,4
spotify:track:1Dx8rIZaXzZPvUQRF2j9hB,"Sweet Lady","Tyrese","Tyrese",1998-08-31,290600,62,false,,2025-12-06T05:00:06Z,"r&b,quiet storm","RCA Records Label",0.588,0.522,9,-6.254,0,0.0383,0.233,0,0.24,0.584,66.024,4
spotify:track:6fRLVZ4jKzuqyDPlIdbq9q,"Butta Love","Rated Next","Next",1997-09-30,296400,51,true,,2025-12-06T05:00:06Z,"r&b","Arista",0.735,0.441,1,-8.412,0,0.0407,0.0972,0,0.0967,0.591,108.015,4
spotify:track:2oeULFTIWZjdHDbapvJxAa,"Are U Still Down?","Cool Relax","Jon B.",1997-09-16,266600,55,false,,2025-12-06T05:00:06Z,"r&b,quiet storm","Yab Yum Records/550 Music",0.723,0.534,4,-8.621,0,0.0576,0.0144,0.0000185,0.185,0.417,91.068,4
spotify:track:4OYn5YgB06UTy5ZEDY9HWj,"Ghetto Love","Ghetto Love","Jaheim",2001-03-13,262973,36,false,,2025-12-06T05:00:06Z,"r&b,neo soul,quiet storm","Warner Records",0.763,0.324,2,-8.907,0,0.0952,0.0796,0,0.107,0.704,58.402,4
spotify:track:1eDmhyYxYa8VG360HVPzUh,"Could It Be","Ghetto Love","Jaheim",2001-03-13,224666,50,true,,2025-12-06T05:00:06Z,"r&b,neo soul,quiet storm","Warner Records",0.655,0.553,9,-6.854,0,0.0891,0.0636,0.0000173,0.126,0.531,70.033,4
