Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31I3Rt1bPa2LrE74DdNizO,"Flashing Lights","Graduation","Kanye West;Dwele",2007-09-11,237506,3,true,gianspotify85,2025-01-24T15:07:57Z,"rap,neo soul","Roc-A-Fella",0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,4
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,"POWER","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,292093,80,true,gianspotify85,2025-01-24T15:07:57Z,"rap","Roc-A-Fella",0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4
spotify:track:7KPr0YxECy4Q1k2F17Sa0Q,"Memories (feat. Kid Cudi)","Memories (feat. Kid Cudi)","David Guetta;Kid Cudi",2010-02-12,210840,63,false,gianspotify85,2025-01-24T15:07:57Z,"edm","Parlophone (France)",0.546,0.898,8,-3.938,1,0.232,0.00158,0.00000643,0.229,0.466,130.002,4
spotify:track:0Rdr7GIwsTiSVhpshA9KUH,"Return Of The Mack","Return Of The Mack","Charming Horses;Stephen Oaks;Coopex",2023-06-01,151717,22,false,gianspotify85,2025-01-24T15:07:57Z,"tropical house,slap house","Soave Records",0.687,0.845,11,-4.867,0,0.174,0.0201,0,0.163,0.751,121.963,4
spotify:track:1mXuMM6zjPgjL4asbBsgnt,"Firework","Teenage Dream","Katy Perry",2010-08-24,227893,70,false,gianspotify85,2025-01-24T15:07:57Z,"pop","Capitol Records",0.638,0.831,8,-5.039,1,0.049,0.142,0,0.113,0.649,124.071,4
spotify:track:7mitXLIMCflkhZiD34uEQI,"Party Rock Anthem","Sorry For Party Rocking","LMFAO;Lauren Bennett;GoonRock",2011-01-01,262146,76,false,gianspotify85,2025-01-24T15:07:57Z,"","Will I Am / A&M",0.75,0.736,5,-4.168,0,0.155,0.0202,0,0.265,0.355,130.011,4
spotify:track:70Vdd1gx5tn84jkAU31ASv,"Sexy And I Know It","Sorry For Party Rocking","LMFAO",2011-01-01,199480,71,false,gianspotify85,2025-01-24T15:07:57Z,"","Will I Am / A&M",0.708,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.043,4
spotify:track:6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,86,false,gianspotify85,2025-01-24T15:07:57Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
spotify:track:0VwNdo84DaVYLIkbVO86ND,"We Are Never Ever Getting Back Together","Red (Big Machine Radio Release Special)","Taylor Swift",2012-10-22,193146,70,false,gianspotify85,2025-01-24T15:07:57Z,"","Taylor Swift",0.628,0.676,7,-5.911,1,0.0916,0.00957,0.0000265,0.121,0.75,85.984,4
spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West;Jamie Foxx",2005-08-30,207626,81,true,gianspotify85,2025-01-24T15:07:57Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
spotify:track:4xkOaSrkexMciUUogZKVTS,"Till I Collapse","The Eminem Show","Eminem;Nate Dogg",2002-05-26,297786,85,true,gianspotify85,2025-01-24T15:07:57Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop","Eminem Catalog PS",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4
spotify:track:7MxIYsn3KpIWfohyN5BF9h,"Shake That Ass","G-Unit, Radio West 1","Eminem;Nate Dogg",2012-10-01,247906,0,true,gianspotify85,2025-01-24T15:07:57Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop","Firefly Entertainment",0.948,0.693,11,-5.248,1,0.161,0.0741,0,0.135,0.598,106.995,4
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,88,true,gianspotify85,2025-01-24T15:07:57Z,"rap,hip hop","Eminem Catalog PS",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
spotify:track:15JINEqzVMv3SvJTAXAKED,"Love The Way You Lie","Recovery","Eminem;Rihanna",2010-06-18,263373,87,true,gianspotify85,2025-01-24T15:07:57Z,"rap,hip hop","Eminem Catalog PS",0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4
spotify:track:3fsghmcEnT7K9f30ohHDRn,"In Da Club","Get Rich Or Die Tryin' / The Massacre (Explicit Version)","50 Cent",2009-11-03,193466,1,true,gianspotify85,2025-01-24T15:07:57Z,"old school hip hop,east coast hip hop","Aftermath/Shady",0.901,0.72,11,-2.826,0,0.36,0.262,0,0.0766,0.795,90.059,4
spotify:track:3bidbhpOYeV4knp8AIu8Xn,"Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore;Ryan Lewis;Macklemore & Ryan Lewis;Ray Dalton",2012-10-09,258342,80,false,gianspotify85,2025-01-24T15:07:57Z,"","Macklemore",0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,4
spotify:track:4TsmezEQVSZNNPv5RJ65Ov,"Pon de Replay","Music Of The Sun","Rihanna",2005-08-29,246960,80,false,gianspotify85,2025-01-24T15:07:57Z,"","Def Jam Recordings",0.779,0.64,7,-8.415,1,0.159,0.000155,0.000766,0.101,0.499,99.017,4
spotify:track:5IVuqXILoxVWvWEPm82Jxr,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé;JAY-Z",2003-06-24,236133,79,false,gianspotify85,2025-01-24T15:07:57Z,"hip hop,east coast hip hop,rap","Columbia",0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,4
spotify:track:2bL2gyO6kBdLkNSkxXNh6x,"Animals","V","Maroon 5",2014-09-02,231013,83,false,gianspotify85,2025-01-24T15:07:57Z,"pop","Interscope Records*",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4
spotify:track:5qTvkDrSfvwDv6RBjjcfQr,"Get Busy","Dutty Rock","Sean Paul",2002-11-12,211666,3,false,gianspotify85,2025-01-24T15:07:57Z,"dancehall","Atlantic Records",0.735,0.824,10,-4.143,0,0.036,0.615,0,0.158,0.726,100.202,4
spotify:track:0XvjOhwCnXXFOSlBbV9jPN,"Barbra Streisand - Radio Edit","Barbra Streisand","Duck Sauce",2010-10-15,196533,21,false,gianspotify85,2025-01-24T15:07:57Z,"disco house","disco:wax",0.769,0.922,1,-1.966,1,0.108,0.000939,0.197,0.233,0.506,127.965,4
spotify:track:5Tvr4qyXcmggPVOxGE1ULS,"Kylie","Kylie","FEEL",2023-06-29,171290,0,false,gianspotify85,2025-01-24T15:07:57Z,"trance,progressive trance","Soave Records",0.694,0.863,5,-3.959,0,0.0436,0.0104,0,0.391,0.668,123.91,4
